台灣
TPE: TAIPEI-CHIANG KAI SHEK, 台灣桃園

BUF: BUFFALO, 美國水牛城

BRL: BURLINGTON, 美國伯靈頓

BTV: BURLINGTON, 美國伯靈頓

MDH: CARBONDALE, 美國卡本代爾

CLD: CARLSBAD, 美國卡爾斯巴德

CPR: CASPER, 美國卡斯珀

CID: CEDAR RAPIDS, 美國錫達拉皮茲

CYS: CHEYENNE, 美國夏延

CDR: CHADRON, 美國查德倫

CMI: CHAMPAIGN, 美國尚佩恩

CHS: CHARLESTON, 美國查爾斯頓

CRW: CHARLESTON, 美國查爾斯頓

CLT: CHARLOTTE, 美國夏洛特

CHO: CHARLOTTESVILLE, 美國夏洛茨維爾

CHA: CHATTANOOGA-LOVELL FIELD, 美國查塔努加

ORD: CHICAGO-O HARE INTER., 美國芝加哥

CIC: CHICO, 美國奇科

CVG: CINCINNATI, 美國辛辛那提

COD: CODY/YELLOWSTONE, 美國科迪

COS: COLORADO SPRINGS, 美國科羅拉多泉

CAE: COLUMBIA, 美國哥倫比亞

CSG: COLUMBUS, 美國哥倫布

CMH: COLUMBUS, 美國哥倫布

UBS: COLUMBUS-GOLDEN TRIANGLE REG., 美國哥倫布

SBP: COUNTY AIRPORT, 美國聖路易斯-奧比斯波

CRP: CORPUS CHRISTI, 美國科珀斯克里斯蒂

CEZ: CORTEZ, 美國科爾特斯

CLE: CLEVELAND, 美國克利夫蘭

CEC: CRESCENT CITY, 美國新月城

DFW: DALLAS,TX, 美國達拉斯

DAY: DAYTON, 美國代頓

DAB: DAYTONA BEACH, 美國代托納比奇

DEC: DECATUR, 美國迪凱特

DEN: DENVER, 美國丹佛

DVL: DEVILS LAKE, 美國魔鬼湖

DSM: DES MOINES, 美國狄蒙

DTW: DETROIT, 美國底特律

DIK: DICKINSON, 美國狄金森

DDC: DODGE CITY, 美國道奇城

DBQ: DUBUQUE, 美國迪比克

DRO: DURANGO, 美國杜蘭戈

EGE: EAGLE, 美國伊格爾

